2018-03-19 21:36:49.354188407 UTC<  --  >Right (SensorData {temperature = 140, humidity = 13})
2018-03-19 21:36:51.881153017 UTC<  --  >Right (SensorData {temperature = 150, humidity = 12})
2018-03-19 21:36:54.408104858 UTC<  --  >Right (SensorData {temperature = 150, humidity = 12})
2018-03-19 21:36:56.935125286 UTC<  --  >Right (SensorData {temperature = 150, humidity = 12})
2018-03-19 21:36:59.462175655 UTC<  --  >Right (SensorData {temperature = 150, humidity = 12})
2018-03-19 21:37:01.989244716 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:04.516303248 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:07.043274589 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:09.570292224 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:12.097280481 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:14.624261022 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:17.151245987 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:19.678268915 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:22.205184652 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:24.732219291 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:27.259303145 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:29.785944599 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:37:32.312792144 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:37:34.839248384 UTC<  --  >Right (SensorData {temperature = 150, humidity = 12})
2018-03-19 21:37:37.366280194 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:37:39.893243044 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 21:37:42.419708338 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:37:44.945930246 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:37:47.474894343 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:37:50.00128854 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 21:37:52.527766901 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:37:55.054242711 UTC<  --  >Right (SensorData {temperature = 150, humidity = 12})
2018-03-19 21:37:57.581367895 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:00.10843183 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:02.634713002 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:38:05.161172352 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:07.692172073 UTC<  --  >Right (SensorData {temperature = 156, humidity = 13})
2018-03-19 21:38:10.222809764 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:38:12.753270632 UTC<  --  >Right (SensorData {temperature = 157, humidity = 13})
2018-03-19 21:38:15.280392069 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:17.807242988 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:20.334332866 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:22.861206653 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:25.388320129 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:28.012308723 UTC<  --  >Right (SensorData {temperature = 151, humidity = 13})
2018-03-19 21:38:30.539375223 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:33.075292727 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:35.602309389 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:38.129317306 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:40.656220538 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:43.183201119 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:45.710221078 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:48.237279167 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:50.764301375 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:53.298272501 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:55.825266073 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:38:58.358227834 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:00.885186938 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:03.41813824 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:05.945137044 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:08.472151477 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:10.999148159 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:13.526159637 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:16.053158832 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:18.58424814 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:21.114953133 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:39:23.641229328 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:26.171774805 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:39:28.698167369 UTC<  --  >Right (SensorData {temperature = 148, humidity = 13})
2018-03-19 21:39:31.225181245 UTC<  --  >Right (SensorData {temperature = 148, humidity = 13})
2018-03-19 21:39:33.838220659 UTC<  --  >Right (SensorData {temperature = 148, humidity = 13})
2018-03-19 21:39:36.365299811 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:38.898253924 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:41.42517877 UTC<  --  >Right (SensorData {temperature = 148, humidity = 13})
2018-03-19 21:39:43.956204255 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:46.483201099 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:39:49.014199676 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:39:51.541213623 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:39:54.068208363 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:39:56.595150716 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:39:59.122142091 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:40:01.649292487 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:40:04.188201911 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:40:06.71524634 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:40:09.242240884 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:40:11.769249033 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:40:14.296210268 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:40:16.823224326 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:40:19.350230793 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:40:21.876915293 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:24.40606189 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:26.932866363 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:29.467204341 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:31.995639363 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:34.52479924 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:37.050903819 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:39.576942264 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:42.102941037 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:44.62951425 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:47.156817531 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:49.682873586 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:52.210596427 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:40:54.741350689 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:40:57.268398977 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:40:59.795160665 UTC<  --  >Right (SensorData {temperature = 152, humidity = 14})
2018-03-19 21:41:02.322277785 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:04.849346535 UTC<  --  >Right (SensorData {temperature = 150, humidity = 14})
2018-03-19 21:41:07.376264051 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:09.903237677 UTC<  --  >Right (SensorData {temperature = 149, humidity = 14})
2018-03-19 21:41:12.429705641 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:41:14.956205133 UTC<  --  >Right (SensorData {temperature = 149, humidity = 14})
2018-03-19 21:41:17.483225213 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:20.014154791 UTC<  --  >Right (SensorData {temperature = 148, humidity = 14})
2018-03-19 21:41:22.540901988 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:41:25.072218578 UTC<  --  >Right (SensorData {temperature = 148, humidity = 14})
2018-03-19 21:41:27.59924732 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:30.126159778 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:32.652675117 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:41:35.181122767 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:37.708047881 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:40.235022285 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:42.760729415 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:41:45.294333282 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:47.821309355 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:50.355251123 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:52.882328901 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:55.414244196 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:41:57.94126196 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:00.468180784 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:02.995225775 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:05.522212138 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:08.049208105 UTC<  --  >Right (SensorData {temperature = 148, humidity = 13})
2018-03-19 21:42:10.58226409 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:13.109274317 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:15.636289562 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:18.163203996 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:20.696154281 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:23.223109016 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:25.753807417 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:42:28.280149069 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:30.807136054 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:33.334141707 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:35.867242484 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:42:38.394343284 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:40.921239888 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:42:43.448163075 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:46.065212032 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:48.592215263 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:42:51.123293567 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:42:53.650252937 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:42:56.183252535 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:42:58.710256534 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:01.241357637 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:03.768309911 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:06.299303509 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:08.826200882 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:43:11.353212445 UTC<  --  >Right (SensorData {temperature = 149, humidity = 13})
2018-03-19 21:43:13.880222261 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:16.407211736 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:18.934164726 UTC<  --  >Right (SensorData {temperature = 150, humidity = 13})
2018-03-19 21:43:21.465193517 UTC<  --  >Right (SensorData {temperature = 150, humidity = 13})
2018-03-19 21:43:23.995842178 UTC<  --  >Left (UndefinedError 255)
2018-03-19 21:43:26.522150917 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:29.0491489 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:31.576167687 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:34.103135563 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:36.630161744 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:39.157132274 UTC<  --  >Left (UndefinedError 254)
2018-03-19 21:43:41.684158662 UTC<  --  >Right (SensorData {temperature = 150, humidity = 13})
2018-03-19 21:43:44.21117143 UTC<  --  >Right (SensorData {temperature = 150, humidity = 13})
2018-03-19 22:07:31.863020354 UTC<  --  >Right (SensorData {temperature = 150, humidity = 13})
2018-03-19 22:07:32.314727224 UTC<  --  >Left (UndefinedError 255)
2018-03-19 22:07:34.391717097 UTC<  --  >Left (UndefinedError 254)
2018-03-19 22:07:34.840979674 UTC<  --  >Left (UndefinedError 255)
2018-03-19 22:07:36.918702126 UTC<  --  >Left (UndefinedError 254)
2018-03-19 22:07:39.445686118 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 22:07:41.972735523 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 22:07:44.499708346 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 22:07:47.026717909 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 22:07:49.557719508 UTC<  --  >Left (UndefinedError 254)
2018-03-19 22:07:52.084638338 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 22:07:54.611695984 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 22:07:57.138663417 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 22:07:59.669742735 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 22:08:02.196678865 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
2018-03-19 22:08:04.723654632 UTC<  --  >Right (SensorData {temperature = 151, humidity = 12})
